gene,g_original,g_composition_removed,lineage,panel
ENSG00000005022,0.11054084697908426,0.36036839248573516,-2.402178346854267,False
ENSG00000005100,0.04808886861692444,0.056257471894889284,0.0,False
ENSG00000005108,0.2902073032493159,0.14090583759452052,-1.017368398558721,False
ENSG00000005175,0.14304795209742552,0.34556209901884105,-2.4219298884526332,False
ENSG00000005194,-0.041686562945595765,0.10815093682474565,-1.7906023894542176,False
ENSG00000005249,-0.28317611133878967,-0.01423840992864944,-6.458697232822746,False
ENSG00000005302,0.3273535280194514,0.35261002804708735,-2.471960606262762,False
ENSG00000005339,0.039448132339455384,-0.03519915580593935,0.45814409602307665,False
ENSG00000005448,0.18004514574341046,0.4191588212661406,-1.2874521300829285,False
ENSG00000005483,0.12176740834200209,-0.2802543617900457,0.05523248404537631,False
ENSG00000005486,0.06508934853450143,0.418705386375551,-0.11815059338812262,False
ENSG00000005700,-0.9073747050182882,-0.756194700823975,-1.3769266914131824,True
ENSG00000005801,0.3780097406437893,0.33861195700123187,-0.6291596450202976,False
ENSG00000005810,-0.3551296352564258,-0.2771015427734566,-0.24343922560215664,False
ENSG00000005812,-0.1274565532427719,-0.2750296010639872,0.0,False
ENSG00000005893,0.029035991519614043,-0.22119103932059536,0.0,False
ENSG00000005981,0.10771406241414964,0.35017113804354727,-12.149954303851047,False
ENSG00000006007,-0.1975347273875892,0.11937876180418568,-3.286403153621575,False
ENSG00000006116,0.1926642187105736,0.12692564003830412,4.157251069377532,False
ENSG00000006118,0.7145999952271256,0.6205209485174772,-1.432140758058018,False
ENSG00000006125,-0.29264306201414,-0.028148115285364508,0.6263411457243366,False
ENSG00000006128,0.0323715917163115,-0.1570696919448395,7.323644383548756,False
ENSG00000006210,0.07406582135141493,0.23559753927516544,0.0,False
ENSG00000006282,-0.4121808396771453,-0.35182820139397,-1.6368962509697276,False
ENSG00000006283,-0.19594726989326272,0.3076355535094042,-11.035184408244803,False
ENSG00000006451,0.016703501086507984,0.19132381792403383,-3.072755291181137,False
ENSG00000006530,-0.21918592440445417,0.08073868114812344,-2.6046745160605287,False
ENSG00000006625,0.038840596268752366,0.10807952133252112,-2.1594030161519626,False
ENSG00000006704,0.14461462452391238,0.1538883231530786,-2.546084908779455,False
ENSG00000006712,0.12651544423219693,0.23377870370172552,-2.428056309874962,False
ENSG00000006715,0.2124653649693253,0.22055941680526597,0.3559521458046417,False
ENSG00000006740,0.11701734049090028,0.26792135973619735,-2.223221193679489,False
ENSG00000006744,-0.00787505417739196,0.028211948414766593,-1.5708497662287983,False
ENSG00000006831,-0.12016155758676116,-0.2282993807091159,0.0,False
ENSG00000007047,-0.054954521312968324,0.19442323339120343,-1.0426691801592352,False
ENSG00000007168,-0.3844297004940671,-0.019385808146923353,-0.5984202419232924,False
ENSG00000007392,-0.11909976829441038,0.02467004290759202,-3.513313920842229,False
ENSG00000007402,-0.4280092792581732,-0.11216324209205031,-1.6969838604110474,False
ENSG00000007944,-0.21747297177875227,-0.03235829101944767,-11.066154166631083,False
ENSG00000008018,0.28483672499992013,0.322836387741631,-2.1222112340351815,False
