gene,symbol,metric,panel
ENSG00000116791,CRYZ,0.35254085,False
ENSG00000133835,HSD17B4,0.35182562,False
ENSG00000151500,THYN1,0.35169446,False
ENSG00000125827,TMX4,0.35166234,False
ENSG00000136444,RSAD1,0.35159928,False
ENSG00000117868,ESYT2,0.35142735,False
ENSG00000139641,ESYT1,0.35122707,False
ENSG00000091129,NRCAM,0.35119724,False
ENSG00000183036,PCP4,0.35116392,False
ENSG00000105518,TMEM205,0.35055035,False
ENSG00000165209,STRBP,0.35009295,False
ENSG00000113595,TRIM23,0.3499122,False
ENSG00000230989,HSBP1,0.34990558,False
ENSG00000159128,IFNGR2,0.34855947,False
ENSG00000063587,ZNF275,0.34785864,False
ENSG00000165138,ANKS6,0.34780174,False
ENSG00000167522,ANKRD11,0.34758663,False
ENSG00000153982,GDPD1,0.3475752,False
ENSG00000111653,ING4,0.3473126,False
ENSG00000167037,SGSM1,0.34706745,False
ENSG00000100664,EIF5,0.34685716,False
ENSG00000109501,WFS1,0.3462404,False
ENSG00000118705,RPN2,0.34596032,False
ENSG00000063177,RPL18,0.34551993,False
ENSG00000249242,TMEM150C,0.34515762,False
ENSG00000120948,TARDBP,0.34471428,False
ENSG00000124151,NCOA3,0.3442354,False
ENSG00000164808,SPIDR,0.34333915,False
ENSG00000153339,TRAPPC8,0.34333345,False
ENSG00000091732,ZC3HC1,0.3432481,False
ENSG00000159202,UBE2Z,0.3431295,False
ENSG00000124226,RNF114,0.34282333,False
ENSG00000103496,STX4,0.34280863,False
ENSG00000151498,ACAD8,0.34269628,False
ENSG00000214941,ZSWIM7,0.3423257,False
ENSG00000124570,SERPINB6,0.34216768,False
ENSG00000065518,NDUFB4,0.34158975,False
ENSG00000185774,KCNIP4,0.34127307,False
ENSG00000104332,SFRP1,0.3409748,False
ENSG00000144029,MRPS5,0.3406719,False
ENSG00000133858,ZFC3H1,0.3403924,False
ENSG00000143543,JTB,0.34027797,False
ENSG00000137193,PIM1,0.3398997,False
ENSG00000127527,EPS15L1,0.33950847,False
ENSG00000128607,KLHDC10,0.33950678,False
ENSG00000120685,PROSER1,0.33944154,False
ENSG00000104218,CSPP1,0.33910954,False
ENSG00000150625,GPM6A,0.33877867,False
ENSG00000114988,LMAN2L,0.33807504,False
ENSG00000166135,HIF1AN,0.33762616,False
ENSG00000130066,SAT1,0.33746368,False
ENSG00000123352,SPATS2,0.33700567,False
ENSG00000069020,MAST4,0.33700433,False
ENSG00000119772,DNMT3A,0.3368355,False
ENSG00000179085,DPM3,0.3368291,False
ENSG00000168275,COA6,0.33653563,False
ENSG00000239306,RBM14,0.3359424,False
ENSG00000152749,GPR180,0.33449873,False
ENSG00000119314,PTBP3,0.33442706,False
ENSG00000064726,BTBD1,0.33426818,False
ENSG00000155886,SLC24A2,0.3336939,False
ENSG00000141867,BRD4,0.3335763,False
ENSG00000143727,ACP1,0.33334878,False
ENSG00000127838,PNKD,0.33314085,False
ENSG00000186642,PDE2A,0.33312395,False
ENSG00000165733,BMS1,0.33196464,False
ENSG00000087258,GNAO1,0.33178896,False
ENSG00000156587,UBE2L6,0.33170533,False
ENSG00000151092,NGLY1,0.33144838,False
ENSG00000119760,SUPT7L,0.3311706,False
ENSG00000081803,CADPS2,0.33082464,False
ENSG00000151461,UPF2,0.33023238,False
ENSG00000165029,ABCA1,0.33022848,False
ENSG00000100711,ZFYVE21,0.32952708,False
ENSG00000025293,PHF20,0.32899857,False
ENSG00000171456,ASXL1,0.32870755,False
ENSG00000185219,ZNF445,0.3283774,False
ENSG00000165671,NSD1,0.3275853,False
ENSG00000107854,TNKS2,0.32748628,False
ENSG00000101439,CST3,0.32741794,False
ENSG00000005302,MSL3,0.32735354,False
ENSG00000149557,FEZ1,0.32712984,False
ENSG00000140836,ZFHX3,0.32655692,False
