gene,symbol,importance,rank,direction_rho,direction,top50_fold_frequency
ENSG00000170873,MTSS1,5.5477927977295e-05,4685,0.14770545314899344,higher rank -> more PD-like,0.0
ENSG00000160584,SIK3,5.545608896213366e-05,4686,-0.2880698933326201,higher rank -> less PD-like,0.04
ENSG00000178952,TUFM,5.545011855448352e-05,4687,-0.04517089093701749,higher rank -> less PD-like,0.0
ENSG00000127616,SMARCA4,5.544887417840334e-05,4688,-0.12274385560675209,higher rank -> less PD-like,0.0
ENSG00000168137,SETD5,5.544872711685449e-05,4689,0.173965221369341,higher rank -> more PD-like,0.0
ENSG00000204370,SDHD,5.5427606873197227e-05,4690,0.1017665130568301,higher rank -> more PD-like,0.0
ENSG00000113327,GABRG2,5.542336515832247e-05,4691,0.03422660122415569,higher rank -> more PD-like,0.0
ENSG00000198961,PJA2,5.541207578552195e-05,4692,-0.170122887864814,higher rank -> less PD-like,0.0
ENSG00000186001,LRCH3,5.541078090272316e-05,4693,0.059283794162823186,higher rank -> more PD-like,0.0
ENSG00000140995,DEF8,5.5410723573671736e-05,4694,0.06499615975422067,higher rank -> more PD-like,0.0
ENSG00000237765,FAM200B,5.5404416443139494e-05,4695,-0.05438748079876815,higher rank -> less PD-like,0.0
ENSG00000152409,JMY,5.5400347386103144e-05,4696,-0.007344470046082503,higher rank -> less PD-like,0.0
ENSG00000176396,EID2,5.539560356705403e-05,4697,-0.16878082735502287,higher rank -> less PD-like,0.0
ENSG00000160113,NR2F6,5.5381842369875355e-05,4698,0.07373271889400519,higher rank -> more PD-like,0.0
ENSG00000063176,SPHK2,5.5379953106564666e-05,4699,-0.018193164362518194,higher rank -> less PD-like,0.0
ENSG00000105339,DENND3,5.537428969196848e-05,4700,-0.0017761136712748555,higher rank -> less PD-like,0.0
ENSG00000109738,GLRB,5.5325359841698136e-05,4701,-0.020305299539169427,higher rank -> less PD-like,0.0
ENSG00000220205,VAMP2,5.531939901681387e-05,4702,-0.05553955453148697,higher rank -> less PD-like,0.0
ENSG00000070718,AP3M2,5.530369384989712e-05,4703,-0.15181335961936426,higher rank -> less PD-like,0.0
