cohort,gene,symbol,g,v,g_adj,v_adj
GSE114517,ENSG00000135298,ADGRB3,-0.4498313400776673,0.1456456254091682,-0.09128501863629429,0.14230053437660542
GSE114517,ENSG00000136040,PLXNC1,0.5252368896082135,0.14691330740381028,0.855551630308705,0.154777010885165
GSE114517,ENSG00000136235,GPNMB,0.33623088095269615,0.14410602145727436,0.22518483295893915,0.14303114221052468
GSE114517,ENSG00000139874,SSTR1,-0.3915192800129375,0.14479974803168164,0.11043320899653751,0.14236712987698205
GSE114517,ENSG00000140600,SH3GL3,-0.46234918045392615,0.14584249661865695,-0.40496728077316746,0.1449844230640086
GSE114517,ENSG00000141837,CACNA1A,-0.36305130895467397,0.14442938434740324,-0.027485435481357116,0.14216988773067735
GSE114517,ENSG00000143847,PPFIA4,0.1693023794780738,0.14265105749849352,0.16897461496438976,0.14264914585720775
GSE114517,ENSG00000144619,CNTN4,-0.3345922045182118,0.1440870686644835,0.4694845446575842,0.1459571340842763
GSE114517,ENSG00000145050,MANF,0.8332465260978185,0.15412754849085808,0.6715599247291189,0.149932599512377
GSE114517,ENSG00000152484,USP12,-0.8519232389398818,0.15467019386657768,-0.3207087854588534,0.14393020972907206
GSE114517,ENSG00000164151,ICE1,-0.07108771922082574,0.14224399143171906,-0.1828722316364463,0.14273345331585138
GSE114517,ENSG00000164181,ELOVL7,-0.002980558106385578,0.14215701591279847,-0.5117374319198392,0.1466719523869586
GSE114517,ENSG00000172137,CALB2,0.08745686602198981,0.14228873694189784,0.29697275395384254,0.1436774285483899
GSE114517,ENSG00000173611,SCAI,-0.15481985474839724,0.1425701245972414,0.20784948370795736,0.14290171460505777
GSE114517,ENSG00000173914,RBM4B,0.8058682345912246,0.15335382156446314,0.5790066529510508,0.1479370128168494
GSE114517,ENSG00000182919,C11orf54,0.20507807593757016,0.1428819837318266,-0.14372529514943214,0.14251301723588755
GSE114517,ENSG00000185513,L3MBTL1,0.11672416888539787,0.14239176846237367,-0.21603394640901794,0.14296152940028864
GSE114517,ENSG00000196367,TRRAP,0.20475866212378588,0.1428797267056967,-0.05870760282101142,0.1422162865835289
GSE114517,ENSG00000197448,GSTK1,-0.656315995261512,0.1495835987043413,-0.48626570130663943,0.14623366157729178
GSE168496,ENSG00000003402,CFLAR,0.016220926103901717,0.2500082224513646,-0.821999630097235,0.2711151059962497
GSE168496,ENSG00000005700,IBTK,-0.7497085754246781,0.26756446712704063,-0.5442601202643862,0.25925684620344386
GSE168496,ENSG00000085719,CPNE3,-0.3836897894220262,0.25460055795333497,-0.8620300391654919,0.27322174338823935
GSE168496,ENSG00000089280,FUS,0.6226723119924742,0.26211627525381415,0.3629065993538397,0.25411566249545525
GSE168496,ENSG00000100600,LGMN,-0.5630755009217392,0.25990793811682084,-0.33108737081219547,0.2534255889722291
GSE168496,ENSG00000101040,ZMYND8,0.1110172418307081,0.25038515087449054,-0.22333481647581857,0.2515587012578215
GSE168496,ENSG00000104327,CALB1,0.13099825387503028,0.2505362669536971,1.5902314902182593,0.3290261310150558
GSE168496,ENSG00000110693,SOX6,-1.081354983999508,0.286541518794393,-0.1395306788578744,0.25060840032320436
GSE168496,ENSG00000114302,PRKAR2A,-0.43366022349700933,0.2558769121701086,0.24376958256800568,0.25185698779329313
GSE168496,ENSG00000119866,BCL11A,-0.13514283630789037,0.2505707370689169,0.5740772101724763,0.26029889510123166
GSE168496,ENSG00000132002,DNAJB1,0.24325985465692787,0.25184922990274095,0.08952678616462592,0.2502504701700302
GSE168496,ENSG00000135298,ADGRB3,-0.4751585848749405,0.2570554900243861,0.297617101980371,0.25276799810597483
