stage,dataset,person,y,PC1,PC2,var_PC1,var_PC2
after,GSE24378,459F,1,-17.066265106201172,19.589820861816406,0.24878248572349548,0.08441411703824997
after,GSE24378,515B,1,15.28447151184082,-10.023271560668945,0.24878248572349548,0.08441411703824997
after,GSE24378,515C,0,20.021087646484375,-3.4204046726226807,0.24878248572349548,0.08441411703824997
after,GSE24378,515D,1,24.688549041748047,-12.256674766540527,0.24878248572349548,0.08441411703824997
after,GSE24378,515E,1,-18.04746437072754,-10.043726921081543,0.24878248572349548,0.08441411703824997
after,GSE24378,515F,1,-35.88220977783203,-14.957559585571289,0.24878248572349548,0.08441411703824997
after,GSE24378,515G,1,15.493766784667969,-3.7901387214660645,0.24878248572349548,0.08441411703824997
after,GSE24378,515H,0,-42.90602111816406,-14.623592376708984,0.24878248572349548,0.08441411703824997
after,GSE24378,515I,0,34.11516189575195,0.04675329849123955,0.24878248572349548,0.08441411703824997
after,GSE24378,515J,1,16.767242431640625,-9.503100395202637,0.24878248572349548,0.08441411703824997
after,GSE24378,515K,0,-13.224446296691895,-5.731196403503418,0.24878248572349548,0.08441411703824997
after,GSE24378,515L,0,26.137704849243164,-23.408201217651367,0.24878248572349548,0.08441411703824997
after,GSE169755,Brain2,1,3.196429967880249,-18.44458770751953,0.24878248572349548,0.08441411703824997
after,GSE169755,Brain3,0,1.7674293518066406,11.485821723937988,0.24878248572349548,0.08441411703824997
after,GSE169755,Brain4,1,2.3675291538238525,-3.4496119022369385,0.24878248572349548,0.08441411703824997
after,GSE169755,Brain7,0,-5.233543395996094,-5.2166547775268555,0.24878248572349548,0.08441411703824997
after,GSE169755,Brain11,0,4.36298131942749,25.105445861816406,0.24878248572349548,0.08441411703824997
after,GSE169755,Brain12,1,-6.4608283042907715,-9.480405807495117,0.24878248572349548,0.08441411703824997
