,Oligodendrocytes,Astrocytes,Microglia,Excitatory,OPCs,Endothelial cells,Inhibitory,Pericytes,Ependymal,GABA,CADPS2+ neurons,DaNs
ENSG00000227542,0.009942268,0.24497986,0.0,0.6186251,0.10476234,1.3923577,0.5903197,11.581973,0.0,1.1099564,0.0,0.0
ENSG00000227544,33.288807,3.3659258,2.8106108,0.39878175,0.61835164,2.0989249,0.23770605,1.4827083,0.69761246,0.89712113,0.0,0.0
ENSG00000227579,1.089397,2.9670408,1.4822719,7.371779,1.9809387,0.24432264,3.5656908,2.074982,1.3759823,0.74510455,0.0,0.37718654
ENSG00000227695,0.65576774,16.16404,1.3611057,1.7855293,1.8990723,1.291098,1.6496984,5.1551976,0.84988624,1.5445031,2.6160479,0.7543731
ENSG00000227712,0.34688208,1.0970454,0.39252618,7.106216,3.8368552,0.3607291,12.264016,1.2220155,1.0161879,1.1352996,0.0,6.325619
ENSG00000227877,0.38973448,0.4599853,0.54699594,0.8542138,1.6494747,0.06362467,0.8365196,0.0,0.13175681,1.0318177,26.655136,0.8838403
ENSG00000227895,0.17918962,0.13748,0.03799424,1.7652543,0.039561592,0.0,0.9662357,0.0,1.8488461,0.09953587,0.0,6.810251
ENSG00000227954,4.18139,7.233635,1.6198536,23.335516,1.2228097,1.187923,2.893758,0.12553042,11.530604,1.4921372,2.5135608,1.5624686
ENSG00000227963,5.980551,7.6533217,7.2583356,5.7045445,4.062076,4.0580363,7.475957,2.361516,4.922757,72.718544,24.621536,3.3301494
ENSG00000228058,0.41702023,0.35312498,84.51861,0.17498697,0.50324667,0.8099131,0.06565466,0.4618189,0.13175681,0.19907174,2.6160479,0.0
ENSG00000228162,0.12648451,0.14221935,0.14242221,0.017587496,0.069666356,0.089550525,0.15528765,0.039433125,66.67186,0.0,0.0,0.37718654
ENSG00000228222,17.380594,105.15357,4.816688,374.28415,145.80292,4.743141,409.04245,57.111084,123.03137,125.064926,302.42935,815.5806
ENSG00000228401,0.19664459,0.17514966,0.12963638,0.10262012,0.069666356,10.639133,0.18874983,1.9300084,0.23448887,0.0,0.0,0.0
ENSG00000228408,0.0,8.175758,0.15444903,0.008240252,0.0,0.18229495,0.0,0.2665862,1.6162789,0.026906991,0.0,0.0
ENSG00000228459,0.0306585,0.059025582,0.9163656,0.11799529,10.497542,0.089550525,0.02076002,0.086097285,0.0,0.09953587,0.0,0.0
ENSG00000228484,0.056342233,20.546083,0.49474838,0.61245525,0.27055243,0.9291739,1.3123318,0.11829939,2.9895654,0.3882712,1.2567804,0.37718654
ENSG00000228495,0.39793396,2.2106895,0.35721633,7.0452085,21.11514,2.1997511,4.5710416,0.5444245,1.0369968,0.0,0.0,4.2027745
ENSG00000228624,464.8002,59.201622,72.022285,52.150757,57.396927,9.933345,45.86015,10.555373,27.905102,22.222809,29.90855,55.943905
ENSG00000228651,2.220151,6.903459,1286.8174,3.148648,3.8213708,4.2363477,1.756865,3.4252222,0.7771102,7.286456,50.91412,7.8250957
ENSG00000228719,0.19893003,0.15184449,0.0,0.06106448,0.039561592,0.089550525,0.32330814,0.039433125,0.6743782,0.23492137,6.4413066,0.0
ENSG00000228793,155.30345,8.312067,10.923745,2.7602885,6.708755,22.046638,1.8410347,10.510259,1.7882888,1.9654953,2.6160479,1.1852821
ENSG00000228824,1.1820067,10.327865,0.69177306,46.41209,11.914471,0.8369576,32.37763,0.07886625,7.563015,29.202984,0.0,136.11485
ENSG00000229140,5.1082244,7.71701,605.3745,7.6703506,10.249165,4.1049876,9.2234955,3.6228354,8.540153,24.350042,6.6166635,7.6623917
ENSG00000229308,0.15970716,0.0933728,0.3765625,2.921239,0.2810893,14.319717,1.4415632,2.5303845,0.2759915,0.5032567,0.0,1.1852821
ENSG00000229453,0.69319385,1.4446558,0.71533024,1.2474247,1.200854,27.140497,0.9289785,7.234076,0.2683944,0.28367966,1.2567804,0.7543731
ENSG00000229618,5.9760823,11.915923,16.490326,44.94946,16.014206,16.25743,26.627272,11.357558,10.547416,9.262932,14.490107,29.07434
ENSG00000229953,0.092851214,1.0481353,0.10554114,0.051655494,5.120608,1.3437345,0.21014494,1.3747134,0.0,0.0,0.0,0.0
ENSG00000230010,0.1466861,0.10336032,0.14145818,0.6331257,0.1684071,0.031812336,0.3447114,40.0225,0.0,0.57095945,0.0,0.37718654
ENSG00000230051,0.10513138,0.16308051,0.13127571,6.3510942,0.43177453,0.14259832,0.80544335,0.5361881,0.19472922,0.5928108,0.0,1.1315597
ENSG00000230062,0.008628372,0.08833572,0.08162162,0.016082255,0.0,0.22157197,0.01038001,0.0,27.880173,0.0,0.0,0.0
