cohort,method,cell_type,n,median_control,median_PD,auc,p
GSE114517,nusvr,CADPS2+ neurons,29,0.0027415111502059096,0.0024025332302788594,0.4607843137254902,0.7360226009091693
GSE114517,nusvr,DaNs,29,0.025010501984365392,0.0,0.24019607843137258,0.007714224739301318
GSE114517,music,Oligodendrocytes,29,0.3393970345425258,0.41668319468132886,0.6176470588235294,0.29806239639512133
GSE114517,music,Astrocytes,29,0.2507367178096711,0.24100049031404877,0.44117647058823534,0.6105920269772613
GSE114517,music,Microglia,29,0.08597966868297444,0.10656200007821964,0.5392156862745098,0.739809535239069
GSE114517,music,Excitatory,29,0.0,0.0,0.49019607843137253,0.879856566275123
GSE114517,music,OPCs,29,0.023886785411766823,0.021432177674620693,0.5049019607843137,0.9823272755529635
GSE114517,music,Endothelial cells,29,0.010562087952255259,0.011682347543644661,0.553921568627451,0.6419688279727049
GSE114517,music,Inhibitory,29,0.12293828023811448,0.10359781879597296,0.5245098039215685,0.8416714408616912
GSE114517,music,Pericytes,29,0.011194117961240424,0.027429913199835985,0.7745098039215688,0.013987614366152168
GSE114517,music,GABA,29,0.0,0.0,0.4583333333333333,0.2626182904425206
GSE114517,music,CADPS2+ neurons,29,0.0,0.0,0.6176470588235294,0.08269136268639028
GSE114517,music,DaNs,29,0.07204408669207713,0.0,0.29411764705882354,0.04779230251573281
GSE168496,nnls,Oligodendrocytes,16,0.828650916539214,0.8446578122552135,0.640625,0.3822843822843822
GSE168496,nnls,Astrocytes,16,0.0,0.0003422523881084031,0.578125,0.6025243523612969
GSE168496,nnls,Microglia,16,0.16634094125981647,0.13815095390279264,0.25,0.10489510489510488
GSE168496,nnls,OPCs,16,0.0,0.0,0.5078125,1.0
GSE168496,nnls,Endothelial cells,16,0.0,0.0,0.5625,0.38157390570502137
GSE168496,nusvr,Oligodendrocytes,16,0.5866807885270351,0.5895832961208635,0.546875,0.7984459984459983
GSE168496,nusvr,Astrocytes,16,0.2214444444670195,0.18530734332670915,0.34375,0.32820512820512815
GSE168496,nusvr,Microglia,16,0.020036676103028672,0.020788218935526046,0.53125,0.8784770784770783
GSE168496,nusvr,OPCs,16,0.031006761677245715,0.035434722543036784,0.75,0.10489510489510488
GSE168496,nusvr,Endothelial cells,16,0.024020360935859873,0.022132982038319635,0.453125,0.7984459984459983
GSE168496,nusvr,Inhibitory,16,0.06522765770737475,0.09195132588272714,0.5703125,0.6741981971505068
GSE168496,nusvr,Pericytes,16,0.030177886685864463,0.027255307386765175,0.40625,0.5737373737373737
GSE168496,nusvr,GABA,16,0.011995094829069955,0.010069565247161464,0.421875,0.6355065570939342
GSE168496,nusvr,CADPS2+ neurons,16,0.004196655816280476,0.0028236449522398145,0.375,0.4418026418026417
GSE168496,nusvr,DaNs,16,0.0,0.0,0.375,0.17090352023079747
GSE168496,music,Oligodendrocytes,16,0.5236870593653336,0.46843051678341496,0.4375,0.7209013209013208
GSE168496,music,Astrocytes,16,0.13304953518770904,0.1313936484798488,0.53125,0.8784770784770783
GSE168496,music,Microglia,16,0.06374493795468489,0.06651386057030928,0.515625,0.959129759129759
GSE168496,music,OPCs,16,0.002677406543850458,0.003119223305597323,0.484375,0.957810850422856
GSE168496,music,Endothelial cells,16,0.015359223226141444,0.015169688759455745,0.46875,0.8784770784770783
GSE168496,music,Inhibitory,16,0.16568042751843273,0.2641022299865138,0.65625,0.3169975086812533
GSE168496,music,Pericytes,16,0.028509703180065342,0.04708324962588391,0.71875,0.1605283605283605
GSE168496,music,DaNs,16,0.02060849499264175,0.0,0.25,0.03247420230516558
