,Oligodendrocytes,Astrocytes,Microglia,Excitatory,OPCs,Endothelial cells,Inhibitory,Pericytes,Ependymal,GABA,CADPS2+ neurons,DaNs
ENSG00000140199,71.39118,52.30869,144.12965,72.498085,78.69167,116.89503,75.16031,47.732666,27.484436,51.431446,70.21594,75.12751
ENSG00000140254,1.787812,1.2237653,2.1726005,0.5405824,0.4837047,0.0,0.7638929,0.19633351,0.96112615,1.1715273,0.0,0.0
ENSG00000140259,11.960241,11.207168,13.851035,15.761799,12.041459,30.69153,16.394127,25.16059,8.599443,17.342915,7.078673,13.213153
ENSG00000140262,1440.0933,493.39444,1311.6946,239.70914,1073.8253,975.86115,233.27832,646.1612,515.8432,278.48965,365.49533,227.28162
ENSG00000140263,25.474518,33.3875,16.011003,15.135617,12.672149,7.8507495,16.567501,3.8427832,15.047266,12.690946,20.063774,16.057135
ENSG00000140264,131.67767,89.29424,162.67194,37.589954,72.18424,434.76096,51.49613,433.04968,118.71543,37.7741,45.988197,45.283375
ENSG00000140265,10.589947,9.254823,10.7956295,5.031737,6.836276,11.352693,6.902548,12.089268,8.449125,3.07894,16.46879,6.530832
ENSG00000140279,0.18563972,0.0698946,0.027798027,0.18705703,0.0,0.16490906,0.09058707,0.0,0.5126654,0.026906991,0.0,0.0
ENSG00000140280,3.4809859,7.697275,21.580904,27.237617,16.794985,18.632277,32.13748,11.423514,4.0797286,15.736816,28.907345,20.734861
ENSG00000140284,0.5990326,0.62030596,0.83583224,16.317705,0.46628588,0.1967214,15.426648,0.5806841,2.2646337,1.9638093,10.822253,4.785173
ENSG00000140285,5.8521876,1.8761903,1.5656279,6.1143312,2.8285558,1.0569813,9.243733,2.4652188,1.6269338,4.0508204,2.0515513,9.46331
ENSG00000140287,0.58634615,0.5223949,0.28484443,12.4814415,0.5041635,0.27569506,38.19178,1.1608443,0.8837918,0.28262356,0.0,0.0
ENSG00000140297,0.251394,0.2701865,0.11961586,0.39841804,0.31119406,0.06362467,0.4848528,1.0941367,0.10273205,0.0,0.0,0.0
ENSG00000140299,34.648582,29.138653,73.86142,21.684385,23.75075,126.17063,21.041603,89.575325,32.898026,23.136929,40.50053,29.656744
ENSG00000140307,35.335308,20.579971,30.957844,22.986223,22.912237,50.501198,26.810387,52.4559,19.047903,18.35059,34.290955,26.835192
ENSG00000140319,94.27297,64.14927,50.478416,67.93151,61.837467,218.92773,94.68413,224.47617,121.53751,66.60771,37.807297,64.21926
ENSG00000140320,12.454868,17.72259,18.314192,11.847068,12.485205,19.849066,12.721225,19.291273,13.173108,10.298855,18.440123,22.54392
ENSG00000140323,1.9337292,4.750391,2.1504154,45.40211,5.5444365,2.329448,48.756664,1.4299663,2.5012727,32.847843,79.79342,48.539318
ENSG00000140326,7.779488,13.906524,8.219406,8.702142,11.76369,6.3529162,9.177093,13.092779,6.9122114,8.263674,14.926817,4.892618
ENSG00000140332,1.3850571,46.213097,103.67492,16.856041,26.552135,34.99089,13.982512,31.676672,56.82597,30.975407,3.3083317,24.420176
ENSG00000140350,103.00178,68.60722,195.49127,26.888832,41.208317,50.840233,32.90736,59.431213,66.77621,44.1948,65.17699,21.53215
ENSG00000140365,22.11653,23.42282,18.893953,11.486556,16.820044,23.401619,10.798835,28.561342,8.0800705,11.541326,8.437941,7.9970703
ENSG00000140367,36.900917,27.607124,32.14458,37.233925,43.4715,85.60293,46.332138,102.15329,37.913853,33.522465,31.498093,61.79416
ENSG00000140368,1.0612473,4.8196926,20.199877,0.75636387,7.6973934,0.3323579,0.24342822,0.10968582,2.5355716,5.6590776,0.0,1.2610269
ENSG00000140374,51.260643,79.453476,96.88052,39.462063,46.988564,108.7062,38.482903,89.91964,47.06125,38.904682,24.701756,26.036367
ENSG00000140379,0.088443585,0.23160891,14.623556,0.08233276,0.18333808,0.0,0.12567909,0.070252694,0.10273205,0.13032983,0.0,0.0
ENSG00000140382,76.747635,63.078625,84.595436,74.09659,92.454155,56.370216,74.647224,55.98873,47.1821,88.03912,59.48142,45.19949
ENSG00000140386,363.66254,317.8603,298.363,386.0806,307.4329,281.82407,376.78387,238.3144,246.85635,263.56256,313.51218,404.56052
ENSG00000140391,46.441837,97.53254,60.261463,74.03538,122.724396,53.792225,87.529205,90.31647,130.0486,88.50664,52.558754,60.77199
ENSG00000140395,41.342255,31.57892,26.066088,43.75066,34.539173,31.014122,51.469532,34.014427,39.654194,31.407974,31.912533,38.032536
ENSG00000140396,212.42865,339.9721,476.8454,272.03815,355.4618,281.45364,248.47281,544.9731,344.85516,270.00104,366.70203,214.37642
ENSG00000140398,5.814813,30.854454,10.391958,26.086937,12.365983,29.840174,32.531208,11.405815,39.3724,28.72021,35.212055,5.798481
ENSG00000140400,30.240374,54.597645,54.799118,47.46107,33.345367,44.945618,46.595276,48.076237,26.245047,31.706705,36.947002,37.729557
ENSG00000140403,30.981224,19.084608,25.095919,52.498764,14.464652,29.992731,65.74529,25.455194,73.00737,34.352055,48.40808,43.777294
ENSG00000140406,13.982621,2.0590932,13.516367,10.548504,4.3470607,40.81669,11.159661,23.721697,2.364636,6.607164,27.41883,10.863072
ENSG00000140416,11.767303,111.066864,31.214922,61.515743,96.74092,378.10712,59.76719,379.97385,119.479065,56.542397,112.30456,32.707474
ENSG00000140443,412.1671,353.9382,153.88722,287.65262,495.41043,1320.4109,252.34213,442.99725,738.5377,249.20605,519.9778,291.93576
ENSG00000140450,4.445235,17.28634,3.5460646,6.5054975,24.151323,17.080507,6.7489977,30.201439,21.533113,6.5835776,0.0,9.903488
ENSG00000140451,0.21675435,6.200867,0.63046753,3.169916,2.7977946,0.031812336,3.9527857,4.0685973,0.0,0.026906991,0.0,1.9396553
