cohort,method,donor,marker_z,da_z,y
GSE49036,nnls,GSM1192695,1.1500788254083114,2.3608291789142335,0
GSE49036,nnls,GSM1192696,0.6260040073532783,0.4188679062583929,0
GSE49036,nnls,GSM1192697,0.02593375667891782,-0.6694704944285697,0
GSE49036,nnls,GSM1192698,0.8627234213416877,1.080710041031879,0
GSE49036,nnls,GSM1192704,0.9790237086659237,1.6581649512132797,1
GSE49036,nnls,GSM1192705,0.25081763824893955,-0.2895209771714012,1
GSE49036,nnls,GSM1192706,-0.4544549182263254,-0.812238583803814,1
GSE49036,nnls,GSM1192707,0.8212104865959208,0.5015117257572098,1
GSE49036,nnls,GSM1192708,0.7674861474138608,0.4312791302461704,1
GSE49036,nnls,GSM1192709,-0.504661201308306,-0.812238583803814,1
GSE49036,nnls,GSM1192710,-2.7220218361603634,-0.812238583803814,1
GSE49036,nnls,GSM1192711,0.11474007282166428,-0.5309217980731632,1
GSE49036,nnls,GSM1192712,-0.20305722693535908,-0.812238583803814,1
GSE49036,nnls,GSM1192713,0.3249283820692109,-0.3100418370578569,1
GSE49036,nnls,GSM1192714,-0.05987521273429761,-0.812238583803814,1
GSE49036,nnls,GSM1192715,-0.6620173010054818,-0.812238583803814,1
GSE49036,nnls,GSM1192716,-1.206899971722507,-0.812238583803814,1
GSE49036,nnls,GSM1192717,-2.4119576024962157,-0.812238583803814,1
GSE49036,nnls,GSM1192718,-0.26533179557207753,-0.812238583803814,1
GSE49036,nusvr,GSM1192691,1.1321621001089155,0.17796596256040645,0
GSE49036,nusvr,GSM1192692,0.17654606125354785,0.21846505024292268,0
GSE49036,nusvr,GSM1192693,1.0377467185612557,0.5729250642286827,0
GSE49036,nusvr,GSM1192694,0.22087573963950072,0.5719194083016076,0
GSE49036,nusvr,GSM1192695,1.1500788254083114,2.373152380662232,0
GSE49036,nusvr,GSM1192696,0.6260040073532783,0.6363077175382572,0
GSE49036,nusvr,GSM1192697,0.02593375667891782,0.5315798003149919,0
GSE49036,nusvr,GSM1192698,0.8627234213416877,0.8696657526317408,0
GSE49036,nusvr,GSM1192704,0.9790237086659237,0.9201938621372184,1
GSE49036,nusvr,GSM1192705,0.25081763824893955,0.2753378841041032,1
GSE49036,nusvr,GSM1192706,-0.4544549182263254,-0.025531880345951337,1
GSE49036,nusvr,GSM1192707,0.8212104865959208,0.19101897357926736,1
GSE49036,nusvr,GSM1192708,0.7674861474138608,0.8029283915355261,1
GSE49036,nusvr,GSM1192709,-0.504661201308306,-0.5323181795540701,1
GSE49036,nusvr,GSM1192710,-2.7220218361603634,-2.171828713357798,1
GSE49036,nusvr,GSM1192711,0.11474007282166428,-0.028718017455533543,1
GSE49036,nusvr,GSM1192712,-0.20305722693535908,-0.17480365260586989,1
GSE49036,nusvr,GSM1192713,0.3249283820692109,-0.0702472498985717,1
GSE49036,nusvr,GSM1192714,-0.05987521273429761,0.035571663700990186,1
GSE49036,nusvr,GSM1192715,-0.6620173010054818,-0.6281224532249726,1
GSE49036,nusvr,GSM1192716,-1.206899971722507,-1.7431440666228246,1
GSE49036,nusvr,GSM1192717,-2.4119576024962157,-2.171828713357798,1
GSE49036,nusvr,GSM1192718,-0.26533179557207753,-0.6304889851145591,1
GSE49036,music,GSM1192691,1.1321621001089155,1.4895504588193627,0
GSE49036,music,GSM1192692,0.17654606125354785,0.1335340986592071,0
GSE49036,music,GSM1192693,1.0377467185612557,1.4345781889652496,0
GSE49036,music,GSM1192694,0.22087573963950072,-0.17389082784988638,0
GSE49036,music,GSM1192695,1.1500788254083114,1.8085897589428284,0
GSE49036,music,GSM1192696,0.6260040073532783,0.4203960510982283,0
GSE49036,music,GSM1192697,0.02593375667891782,-0.03230346245387889,0
GSE49036,music,GSM1192698,0.8627234213416877,1.092962506325488,0
GSE49036,music,GSM1192704,0.9790237086659237,1.3931052042142817,1
GSE49036,music,GSM1192705,0.25081763824893955,0.01259118338259328,1
GSE49036,music,GSM1192706,-0.4544549182263254,-0.7752302398398085,1
GSE49036,music,GSM1192707,0.8212104865959208,0.6091347719806212,1
GSE49036,music,GSM1192708,0.7674861474138608,0.80924595664633,1
GSE49036,music,GSM1192709,-0.504661201308306,-0.9602777987316887,1
GSE49036,music,GSM1192710,-2.7220218361603634,-1.5301386848371925,1
GSE49036,music,GSM1192711,0.11474007282166428,0.1157480640101777,1
GSE49036,music,GSM1192712,-0.20305722693535908,-0.7184952688593104,1
GSE49036,music,GSM1192713,0.3249283820692109,0.21306734305128652,1
GSE49036,music,GSM1192714,-0.05987521273429761,-0.4210986558377201,1
GSE49036,music,GSM1192715,-0.6620173010054818,-1.103164586261321,1
GSE49036,music,GSM1192716,-1.206899971722507,-1.513317400584994,1
GSE49036,music,GSM1192717,-2.4119576024962157,-1.5301386848371925,1
GSE49036,music,GSM1192718,-0.26533179557207753,-0.7744479760026642,1
