threshold,n_genes,cohort,n,genes_measured,auc,ci_lo,ci_hi,accuracy
0.76,5,GSE20163,17,5,0.5555555555555556,0.257564935064935,0.8333333333333334,0.5294117647058824
0.76,5,GSE20164,11,5,0.7666666666666666,0.3666666666666667,1.0,0.6363636363636364
0.76,5,GSE8397,23,5,0.7583333333333333,0.5,0.9736842105263157,0.5652173913043478
0.76,5,GSE49036,23,5,0.8666666666666667,0.6842105263157895,0.9923106060606061,0.6956521739130435
0.76,5,GSE114517,29,5,0.8137254901960784,0.5761278195488722,0.9903846153846153,0.8275862068965517
0.76,5,GSE168496,16,5,0.65625,0.3333333333333333,0.921875,0.6875
0.8,4,GSE7621,25,4,0.951388888888889,0.8571428571428571,1.0,0.8
0.8,4,GSE20292,29,4,0.4217171717171717,0.2107778637770898,0.6473684210526316,0.5172413793103449
0.8,4,GSE20163,17,4,0.41666666666666663,0.12857142857142856,0.7166666666666667,0.47058823529411764
0.8,4,GSE20164,11,4,0.7333333333333333,0.3333333333333333,1.0,0.6363636363636364
0.8,4,GSE8397,23,4,0.7666666666666666,0.5378246753246753,0.9461538461538461,0.6086956521739131
0.8,4,GSE49036,23,4,0.875,0.6904761904761905,1.0,0.782608695652174
0.8,4,GSE114517,29,4,0.8235294117647058,0.6168831168831169,0.9747660427807487,0.7241379310344828
0.8,4,GSE168496,16,4,0.71875,0.4285714285714286,0.9523809523809523,0.625
0.84,3,GSE7621,25,3,0.9166666666666667,0.779148629148629,1.0,0.8
0.84,3,GSE20292,29,3,0.35858585858585856,0.16176099227569815,0.5858755827505828,0.5172413793103449
0.84,3,GSE20163,17,3,0.36111111111111116,0.08333333333333333,0.6805555555555556,0.35294117647058826
0.84,3,GSE20164,11,3,0.7333333333333333,0.33333333333333337,1.0,0.5454545454545454
0.84,3,GSE8397,23,3,0.725,0.5,0.9126984126984128,0.6086956521739131
0.84,3,GSE49036,23,3,0.9333333333333333,0.8039215686274509,1.0,0.8260869565217391
0.84,3,GSE114517,29,3,0.7450980392156863,0.5094668737060041,0.9362886996904024,0.6896551724137931
0.84,3,GSE168496,16,3,0.625,0.31666666666666665,0.8975000000000003,0.625
0.88,3,GSE7621,25,3,0.9166666666666667,0.7921942640692641,1.0,0.8
0.88,3,GSE20292,29,3,0.35858585858585856,0.1590799825174825,0.5759830562659847,0.5172413793103449
0.88,3,GSE20163,17,3,0.36111111111111116,0.09090909090909088,0.6666666666666666,0.35294117647058826
0.88,3,GSE20164,11,3,0.7333333333333333,0.3214285714285714,1.0,0.5454545454545454
0.88,3,GSE8397,23,3,0.725,0.49999999999999994,0.9216013071895424,0.6086956521739131
0.88,3,GSE49036,23,3,0.9333333333333333,0.8015873015873016,1.0,0.8260869565217391
0.88,3,GSE114517,29,3,0.7450980392156863,0.5118849206349206,0.9509803921568628,0.6896551724137931
0.88,3,GSE168496,16,3,0.625,0.32727272727272727,0.8909090909090909,0.625
